"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",10968216
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",38232000
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",5525533
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",113456171
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",172085177
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",23693441
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3616743752
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",137972522
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",59544914
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",3887137
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",22107321
"ANZDA","ANZ GROUP HOLDINGS LIMITED","1969-09-30","Banks",0
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",1572130
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",6479125
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",267123085
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",24113618
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",22247947
"APA","APA GROUP","2000-06-13","Utilities",13167615344
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",21235191
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",2834041848
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","2004-09-30","Diversified Financials",11569413
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2256267587
"APS","ALLUP SILICA LIMITED","2022-05-02","Materials",7606050
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",55203663
"APX","APPEN LIMITED","2015-01-07","Software & Services",293802327
"APZ","ASPEN GROUP","1991-04-11","Real Estate",335517807
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",81618074
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",14027537
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",19567399
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",25200000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",29622568
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",4400500
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",495062867
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",85368190
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",48561833
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",29114592
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",119683577
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",2152577420
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",9022906
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",16411617
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",12723743
"ARF","ARENA REIT.","2013-06-13","Real Estate",1363477316
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6768271867
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",134629676
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",20888779
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",19134539
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",89696160
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",152829053
"ARU","ARAFURA RARE EARTHS LTD","2003-11-05","Materials",884019973
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",36176878
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",375463683
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",21386066
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",786498869
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",402000000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",100063253
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",251724893
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",229759710
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",95763660
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",48621743
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",14646340
"ASR","ASRA MINERALS LIMITED","1986-06-30","Materials",23428185
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",33846361
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",13145111500
